Id,date,total_sleep_minutes
1503960366,2016-03-11,441.0
1503960366,2016-03-12,441.0
1503960366,2016-03-13,441.0
1503960366,2016-03-14,423.0
1503960366,2016-03-15,365.0
1503960366,2016-03-16,404.0
1503960366,2016-03-17,473.0
1503960366,2016-03-18,449.0
1503960366,2016-03-19,490.0
1503960366,2016-03-20,483.0
1503960366,2016-03-21,471.0
1503960366,2016-03-22,471.0
1503960366,2016-03-23,316.0
1503960366,2016-03-24,389.0
1503960366,2016-03-25,424.0
1503960366,2016-03-26,511.0
1503960366,2016-03-27,533.0
1503960366,2016-03-28,81.0
1503960366,2016-03-29,411.0
1503960366,2016-03-30,411.0
1503960366,2016-03-31,365.0
1503960366,2016-04-01,333.0
1503960366,2016-04-02,591.0
1503960366,2016-04-03,480.0
1503960366,2016-04-04,392.0
1503960366,2016-04-05,343.0
1503960366,2016-04-06,343.0
1503960366,2016-04-07,343.0
1503960366,2016-04-08,343.0
1503960366,2016-04-09,437.0
1503960366,2016-04-10,503.0
1503960366,2016-04-11,351.0
1503960366,2016-04-12,371.0
1503960366,2016-04-13,442.0
1503960366,2016-04-14,442.0
1503960366,2016-04-15,480.0
1503960366,2016-04-16,436.0
1503960366,2016-04-17,690.0
1503960366,2016-04-18,690.0
1503960366,2016-04-19,336.0
1503960366,2016-04-20,397.0
1503960366,2016-04-21,406.0
1503960366,2016-04-22,406.0
1503960366,2016-04-23,408.0
1503960366,2016-04-24,468.0
1503960366,2016-04-25,375.0
1503960366,2016-04-26,306.0
1503960366,2016-04-27,306.0
1503960366,2016-04-28,421.0
1503960366,2016-04-29,367.0
1503960366,2016-04-30,447.0
1503960366,2016-05-01,428.0
1503960366,2016-05-02,347.0
1503960366,2016-05-03,322.0
1503960366,2016-05-04,322.0
1503960366,2016-05-05,282.0
1503960366,2016-05-06,402.0
1503960366,2016-05-07,369.0
1503960366,2016-05-08,629.0
1503960366,2016-05-09,346.0
1503960366,2016-05-10,424.0
1503960366,2016-05-11,327.0
1503960366,2016-05-12,327.0
1644430081,2016-03-11,638.0
1644430081,2016-03-12,638.0
1644430081,2016-03-13,638.0
1644430081,2016-03-14,638.0
1644430081,2016-03-15,638.0
1644430081,2016-03-16,638.0
1644430081,2016-03-17,638.0
1644430081,2016-03-18,638.0
1644430081,2016-03-19,638.0
1644430081,2016-03-20,638.0
1644430081,2016-03-21,638.0
1644430081,2016-03-22,638.0
1644430081,2016-03-23,638.0
1644430081,2016-03-24,638.0
1644430081,2016-03-25,638.0
1644430081,2016-03-26,638.0
1644430081,2016-03-27,638.0
1644430081,2016-03-28,466.0
1644430081,2016-03-29,215.0
1644430081,2016-03-30,1201.0
1644430081,2016-03-31,1201.0
1644430081,2016-04-01,1201.0
1644430081,2016-04-02,1201.0
1644430081,2016-04-03,1201.0
1644430081,2016-04-04,1201.0
1644430081,2016-04-05,1201.0
1644430081,2016-04-06,1201.0
1644430081,2016-04-07,1201.0
1644430081,2016-04-08,1201.0
1644430081,2016-04-09,1201.0
1644430081,2016-04-10,1201.0
1644430081,2016-04-11,1201.0
1644430081,2016-04-12,1201.0
1644430081,2016-04-13,1201.0
1644430081,2016-04-14,1201.0
1644430081,2016-04-15,1201.0
1644430081,2016-04-16,1201.0
1644430081,2016-04-17,1201.0
1644430081,2016-04-18,1201.0
1644430081,2016-04-19,1201.0
1644430081,2016-04-20,1201.0
1644430081,2016-04-21,1201.0
1644430081,2016-04-22,1201.0
1644430081,2016-04-23,1201.0
1644430081,2016-04-24,1201.0
1644430081,2016-04-25,1201.0
1644430081,2016-04-26,1201.0
1644430081,2016-04-27,1201.0
1644430081,2016-04-28,1201.0
1644430081,2016-04-29,135.0
1644430081,2016-04-30,163.0
1644430081,2016-05-01,653.0
1644430081,2016-05-02,602.0
1644430081,2016-05-03,602.0
1644430081,2016-05-04,602.0
1644430081,2016-05-05,602.0
1644430081,2016-05-06,602.0
1644430081,2016-05-07,602.0
1644430081,2016-05-08,174.0
1644430081,2016-05-09,174.0
1644430081,2016-05-10,174.0
1644430081,2016-05-11,174.0
1644430081,2016-05-12,174.0
1844505072,2016-03-11,232.0
1844505072,2016-03-12,232.0
1844505072,2016-03-13,232.0
1844505072,2016-03-14,232.0
1844505072,2016-03-15,232.0
1844505072,2016-03-16,232.0
1844505072,2016-03-17,232.0
1844505072,2016-03-18,232.0
1844505072,2016-03-19,232.0
1844505072,2016-03-20,232.0
1844505072,2016-03-21,232.0
1844505072,2016-03-22,232.0
1844505072,2016-03-23,232.0
1844505072,2016-03-24,232.0
1844505072,2016-03-25,232.0
1844505072,2016-03-26,232.0
1844505072,2016-03-27,232.0
1844505072,2016-03-28,232.0
1844505072,2016-03-29,232.0
1844505072,2016-03-30,232.0
1844505072,2016-03-31,232.0
1844505072,2016-04-01,232.0
1844505072,2016-04-02,232.0
1844505072,2016-04-03,232.0
1844505072,2016-04-04,771.0
1844505072,2016-04-05,771.0
1844505072,2016-04-06,771.0
1844505072,2016-04-07,771.0
1844505072,2016-04-08,771.0
1844505072,2016-04-09,1160.0
1844505072,2016-04-10,383.0
1844505072,2016-04-11,383.0
1844505072,2016-04-12,383.0
1844505072,2016-04-13,383.0
1844505072,2016-04-14,500.0
1844505072,2016-04-15,866.0
1844505072,2016-04-16,866.0
1844505072,2016-04-17,866.0
1844505072,2016-04-18,866.0
1844505072,2016-04-19,866.0
1844505072,2016-04-20,866.0
1844505072,2016-04-21,866.0
1844505072,2016-04-22,866.0
1844505072,2016-04-23,866.0
1844505072,2016-04-24,866.0
1844505072,2016-04-25,866.0
1844505072,2016-04-26,866.0
1844505072,2016-04-27,866.0
1844505072,2016-04-28,866.0
1844505072,2016-04-29,250.0
1844505072,2016-04-30,1464.0
1844505072,2016-05-01,1033.0
1844505072,2016-05-02,1033.0
1844505072,2016-05-03,1033.0
1844505072,2016-05-04,1033.0
1844505072,2016-05-05,1033.0
1844505072,2016-05-06,1033.0
1844505072,2016-05-07,1033.0
1844505072,2016-05-08,1033.0
1844505072,2016-05-09,1033.0
1844505072,2016-05-10,1033.0
1844505072,2016-05-11,1033.0
1844505072,2016-05-12,1033.0
1927972279,2016-03-11,44.0
1927972279,2016-03-12,650.0
1927972279,2016-03-13,530.0
1927972279,2016-03-14,186.0
1927972279,2016-03-15,68.0
1927972279,2016-03-16,696.0
1927972279,2016-03-17,6.0
1927972279,2016-03-18,591.0
1927972279,2016-03-19,641.0
1927972279,2016-03-20,609.0
1927972279,2016-03-21,370.0
1927972279,2016-03-22,413.0
1927972279,2016-03-23,505.0
1927972279,2016-03-24,447.0
1927972279,2016-03-25,66.0
1927972279,2016-03-26,425.0
1927972279,2016-03-27,129.0
1927972279,2016-03-28,241.0
1927972279,2016-03-29,615.0
1927972279,2016-03-30,407.0
1927972279,2016-03-31,551.0
1927972279,2016-04-01,397.0
1927972279,2016-04-02,357.0
1927972279,2016-04-03,116.0
1927972279,2016-04-04,501.0
1927972279,2016-04-05,451.0
1927972279,2016-04-06,445.0
1927972279,2016-04-07,445.0
1927972279,2016-04-08,445.0
1927972279,2016-04-09,56.0
1927972279,2016-04-10,516.0
1927972279,2016-04-11,683.0
1927972279,2016-04-12,1191.0
1927972279,2016-04-13,453.0
1927972279,2016-04-14,55.0
1927972279,2016-04-15,468.0
1927972279,2016-04-16,468.0
1927972279,2016-04-17,468.0
1927972279,2016-04-18,468.0
1927972279,2016-04-19,468.0
1927972279,2016-04-20,468.0
1927972279,2016-04-21,468.0
1927972279,2016-04-22,468.0
1927972279,2016-04-23,468.0
1927972279,2016-04-24,468.0
1927972279,2016-04-25,135.0
1927972279,2016-04-26,199.0
1927972279,2016-04-27,199.0
1927972279,2016-04-28,190.0
1927972279,2016-04-29,190.0
1927972279,2016-04-30,190.0
1927972279,2016-05-01,190.0
1927972279,2016-05-02,190.0
1927972279,2016-05-03,190.0
1927972279,2016-05-04,190.0
1927972279,2016-05-05,190.0
1927972279,2016-05-06,190.0
1927972279,2016-05-07,190.0
1927972279,2016-05-08,190.0
1927972279,2016-05-09,190.0
1927972279,2016-05-10,190.0
1927972279,2016-05-11,190.0
1927972279,2016-05-12,190.0
2022484408,2016-03-11,153.0
2022484408,2016-03-12,153.0
2022484408,2016-03-13,153.0
2022484408,2016-03-14,153.0
2022484408,2016-03-15,153.0
2022484408,2016-03-16,153.0
2022484408,2016-03-17,153.0
2022484408,2016-03-18,153.0
2022484408,2016-03-19,153.0
2022484408,2016-03-20,153.0
2022484408,2016-03-21,153.0
2022484408,2016-03-22,153.0
2022484408,2016-03-23,153.0
2022484408,2016-03-24,153.0
2022484408,2016-03-25,153.0
2022484408,2016-03-26,153.0
2022484408,2016-03-27,153.0
2022484408,2016-03-28,153.0
2022484408,2016-03-29,153.0
2022484408,2016-03-30,153.0
2022484408,2016-03-31,153.0
2022484408,2016-04-01,153.0
2022484408,2016-04-02,153.0
2022484408,2016-04-03,153.0
2022484408,2016-04-04,153.0
2022484408,2016-04-05,153.0
2022484408,2016-04-06,153.0
2022484408,2016-04-07,153.0
2022484408,2016-04-08,153.0
2022484408,2016-04-09,153.0
2022484408,2016-04-10,153.0
2022484408,2016-04-11,153.0
2022484408,2016-04-12,153.0
2022484408,2016-04-13,153.0
2022484408,2016-04-14,153.0
2022484408,2016-04-15,153.0
2022484408,2016-04-16,153.0
2022484408,2016-04-17,153.0
2022484408,2016-04-18,153.0
2022484408,2016-04-19,153.0
2022484408,2016-04-20,153.0
2022484408,2016-04-21,153.0
2022484408,2016-04-22,153.0
2022484408,2016-04-23,153.0
2022484408,2016-04-24,153.0
2022484408,2016-04-25,153.0
2022484408,2016-04-26,153.0
2022484408,2016-04-27,153.0
2022484408,2016-04-28,153.0
2022484408,2016-04-29,153.0
2022484408,2016-04-30,153.0
2022484408,2016-05-01,153.0
2022484408,2016-05-02,153.0
2022484408,2016-05-03,153.0
2022484408,2016-05-04,153.0
2022484408,2016-05-05,153.0
2022484408,2016-05-06,153.0
2022484408,2016-05-07,153.0
2022484408,2016-05-08,153.0
2022484408,2016-05-09,153.0
2022484408,2016-05-10,153.0
2022484408,2016-05-11,153.0
2022484408,2016-05-12,153.0
2026352035,2016-03-11,174.0
2026352035,2016-03-12,610.0
2026352035,2016-03-13,696.0
2026352035,2016-03-14,566.0
2026352035,2016-03-15,454.0
2026352035,2016-03-16,185.0
2026352035,2016-03-17,545.0
2026352035,2016-03-18,651.0
2026352035,2016-03-19,591.0
2026352035,2016-03-20,639.0
2026352035,2016-03-21,647.0
2026352035,2016-03-22,574.0
2026352035,2016-03-23,638.0
2026352035,2016-03-24,608.0
2026352035,2016-03-25,562.0
2026352035,2016-03-26,664.0
2026352035,2016-03-27,620.0
2026352035,2016-03-28,569.0
2026352035,2016-03-29,568.0
2026352035,2016-03-30,575.0
2026352035,2016-03-31,587.0
2026352035,2016-04-01,575.0
2026352035,2016-04-02,630.0
2026352035,2016-04-03,687.0
2026352035,2016-04-04,577.0
2026352035,2016-04-05,618.0
2026352035,2016-04-06,573.0
2026352035,2016-04-07,662.0
2026352035,2016-04-08,579.0
2026352035,2016-04-09,625.0
2026352035,2016-04-10,608.0
2026352035,2016-04-11,847.0
2026352035,2016-04-12,952.0
2026352035,2016-04-13,571.0
2026352035,2016-04-14,625.0
2026352035,2016-04-15,620.0
2026352035,2016-04-16,629.0
2026352035,2016-04-17,345.0
2026352035,2016-04-18,227.0
2026352035,2016-04-19,563.0
2026352035,2016-04-20,537.0
2026352035,2016-04-21,566.0
2026352035,2016-04-22,604.0
2026352035,2016-04-23,591.0
2026352035,2016-04-24,600.0
2026352035,2016-04-25,366.0
2026352035,2016-04-26,155.0
2026352035,2016-04-27,609.0
2026352035,2016-04-28,508.0
2026352035,2016-04-29,640.0
2026352035,2016-04-30,638.0
2026352035,2016-05-01,567.0
2026352035,2016-05-02,375.0
2026352035,2016-05-03,168.0
2026352035,2016-05-04,587.0
2026352035,2016-05-05,509.0
2026352035,2016-05-06,559.0
2026352035,2016-05-07,572.0
2026352035,2016-05-08,600.0
2026352035,2016-05-09,518.0
2026352035,2016-05-10,455.0
2026352035,2016-05-11,574.0
2026352035,2016-05-12,339.0
2320127002,2016-03-11,81.0
2320127002,2016-03-12,81.0
2320127002,2016-03-13,81.0
2320127002,2016-03-14,81.0
2320127002,2016-03-15,81.0
2320127002,2016-03-16,81.0
2320127002,2016-03-17,81.0
2320127002,2016-03-18,81.0
2320127002,2016-03-19,81.0
2320127002,2016-03-20,81.0
2320127002,2016-03-21,81.0
2320127002,2016-03-22,81.0
2320127002,2016-03-23,81.0
2320127002,2016-03-24,81.0
2320127002,2016-03-25,81.0
2320127002,2016-03-26,81.0
2320127002,2016-03-27,81.0
2320127002,2016-03-28,81.0
2320127002,2016-03-29,81.0
2320127002,2016-03-30,81.0
2320127002,2016-03-31,81.0
2320127002,2016-04-01,81.0
2320127002,2016-04-02,81.0
2320127002,2016-04-03,81.0
2320127002,2016-04-04,81.0
2320127002,2016-04-05,81.0
2320127002,2016-04-06,81.0
2320127002,2016-04-07,81.0
2320127002,2016-04-08,81.0
2320127002,2016-04-09,81.0
2320127002,2016-04-10,81.0
2320127002,2016-04-11,81.0
2320127002,2016-04-12,81.0
2320127002,2016-04-13,81.0
2320127002,2016-04-14,81.0
2320127002,2016-04-15,81.0
2320127002,2016-04-16,81.0
2320127002,2016-04-17,81.0
2320127002,2016-04-18,81.0
2320127002,2016-04-19,81.0
2320127002,2016-04-20,81.0
2320127002,2016-04-21,81.0
2320127002,2016-04-22,81.0
2320127002,2016-04-23,81.0
2320127002,2016-04-24,81.0
2320127002,2016-04-25,81.0
