Id,TotalSteps,TotalSteps,TotalSteps,TotalDistance,TotalDistance,TotalDistance,VeryActiveMinutes,VeryActiveMinutes,VeryActiveMinutes,FairlyActiveMinutes,FairlyActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,LightlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,SedentaryMinutes,SedentaryMinutes,Calories,Calories,Calories
,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min,mean,max,min
1503960366,12179.367346938776,18134,0,7.890612235178754,12.210000038147,0.0,38.38775510204081,89,0,18.26530612244898,46,0,227.6326530612245,341,0,850.6122448979592,1440,539,1845.6530612244899,2159,0
1624580081,5272.65306122449,36019,815,3.5418367361535825,28.0300006866455,0.529999971389771,5.775510204081633,186,0,3.8979591836734695,63,0,144.0408163265306,270,47,1291.3877551020407,1898,890,1463.0408163265306,2690,1002
1644430081,7780.925,20237,1223,5.658750015497209,14.710000038147,0.889999985694885,10.875,59,0,26.9,141,0,190.775,586,35,1129.95,1402,207,2837.575,4029,489
1844505072,2944.5,8054,0,1.946904770852555,5.32000017166138,0.0,0.30952380952380953,9,0,1.1666666666666667,13,0,130.5,373,0,1186.404761904762,1527,218,1623.0714285714287,2429,665
1927972279,1299.2857142857142,5662,0,0.899999997356818,3.92000007629395,0.0,0.9761904761904762,16,0,1.0476190476190477,11,0,60.38095238095238,267,0,1244.642857142857,1440,805,2247.7380952380954,3162,1383
2022484408,11871.166666666666,18592,3292,8.473809509050279,13.8299999237061,2.30999994277954,38.23809523809524,104,0,20.714285714285715,63,0,262.54761904761904,361,135,1123.7380952380952,1708,728,2559.8333333333335,3530,1848
2026352035,5078.238095238095,12357,254,3.150952379618372,7.71000003814697,0.159999996423721,0.07142857142857142,3,0,0.19047619047619047,8,0,237.8095238095238,475,17,697.1904761904761,1062,330,1524.4285714285713,2059,1141
2320127002,4378.190476190476,12823,0,2.959285683575131,8.89999973773956,0.0,1.2619047619047619,20,0,2.2142857142857144,11,0,182.26190476190476,390,0,1257.4761904761904,1729,830,1710.3333333333333,2914,1125
2347167796,9948.59375,22244,42,6.627187506237535,15.0799999237061,0.0299999993294477,13.125,66,0,22.40625,72,0,260.875,401,4,707.09375,1389,2,2096.9375,2743,403
2873212765,7473.047619047619,14103,890,5.042380937508175,9.5600004196167,0.600000023841858,11.857142857142858,75,0,6.238095238095238,24,0,305.9761904761905,448,41,1134.6666666666667,2501,720,1899.404761904762,2257,1335
2891001357,773.625,4126,0,0.6037500053644175,3.22000002861023,0.0,0.0,0,0,82.5,660,0,168.75,720,0,1099.875,1440,99,2273.375,4562,1144
3372868164,6616.933333333333,9715,3077,4.543333355585735,6.63000011444092,2.09999990463257,10.033333333333333,24,0,3.9,25,0,314.23333333333335,416,152,1080.0666666666666,1234,735,1908.8333333333333,2124,1237
3977333714,10573.268292682927,16520,746,7.199756042259497,11.0500001907349,0.5,17.390243902439025,50,0,53.97560975609756,143,0,188.4390243902439,331,9,725.1463414634146,1159,13,1516.7560975609756,1783,52
4020332650,4115.080645161291,12483,0,2.9517741935748245,8.98999977111816,0.0,4.693548387096774,65,0,6.629032258064516,46,0,105.75806451612904,346,0,1177.7096774193549,1440,531,2780.1935483870966,4100,1120
4057192912,2164.0857142857144,8433,0,1.597142860186952,6.23000001907349,0.0,1.2285714285714286,30,0,5.0,120,0,51.31428571428572,193,0,1380.7714285714285,1676,873,1965.942857142857,2824,1527
4319703577,7422.813953488372,13658,0,4.993720921622805,9.48999977111816,0.0,4.4186046511627906,27,0,13.976744186046512,51,0,234.32558139534885,390,0,748.1627906976744,1440,0,2025.5581395348838,2530,0
4388161847,8595.692307692309,22770,0,6.671538530251917,17.5400009155273,0.0,18.41025641025641,120,0,16.17948717948718,56,0,182.30769230769232,306,0,949.0,1440,508,2829.5384615384614,4022,1296
4445114986,4735.311111111111,9105,768,3.204888885551028,6.1100001335144,0.519999980926514,6.2444444444444445,34,0,1.511111111111111,22,0,210.9111111111111,350,58,858.8444444444444,1330,380,2208.6444444444446,2858,1212
4558609924,7325.285714285715,13743,3183,4.842380956524894,9.07999992370605,2.09999990463257,8.904761904761905,66,0,10.904761904761905,41,0,281.7142857142857,432,127,1117.2857142857142,1677,736,2023.642857142857,2666,1452
4702921684,8553.0,15126,0,6.939999985694885,12.2700004577637,0.0,4.511111111111111,22,0,23.68888888888889,125,0,245.84444444444443,439,0,770.2222222222222,2158,241,2983.4222222222224,3691,1240
